cutoff_year,rows_dropped_before_cutoff,keepers_lost_before_cutoff,rows_remaining,keepers_remaining,share_of_dropped_that_were_keepers,share_of_keepers_lost
1998,0,0,23865,1451,0.0,0.0
1999,122,0,23743,1451,0.0,0.0
2000,266,0,23599,1451,0.0,0.0
2001,407,0,23458,1451,0.0,0.0
2002,566,0,23299,1451,0.0,0.0
2003,825,0,23040,1451,0.0,0.0
2004,970,0,22895,1451,0.0,0.0
2005,1125,0,22740,1451,0.0,0.0
2006,1361,0,22504,1451,0.0,0.0
2007,1598,1,22267,1450,0.06,0.07
2008,1845,1,22020,1450,0.05,0.07
2009,2180,1,21685,1450,0.05,0.07
2010,2605,1,21260,1450,0.04,0.07
2011,3023,1,20842,1450,0.03,0.07
2012,3418,1,20447,1450,0.03,0.07
2013,3981,2,19884,1449,0.05,0.14
2014,4678,4,19187,1447,0.09,0.28
2015,5618,6,18247,1445,0.11,0.41
2016,6264,8,17601,1443,0.13,0.55
2017,7102,11,16763,1440,0.15,0.76
2018,7617,14,16248,1437,0.18,0.96
2019,8079,16,15786,1435,0.2,1.1
2020,10185,37,13680,1414,0.36,2.55
2021,12210,47,11655,1404,0.38,3.24
2022,14332,78,9533,1373,0.54,5.38
2023,16452,119,7413,1332,0.72,8.2
2024,18694,230,5171,1221,1.23,15.85
2025,20990,427,2875,1024,2.03,29.43
2026,23181,1061,684,390,4.58,73.12
