code,code_len,tasting_name,tasting_producer,tasting_year,tasting_activity_date,strict_n,strict_best_pn,strict_suffix,strict_sb_name,strict_sb_producer,strict_sb_country,strict_sb_vintage,strict_in_search,strict_name_sim,strict_name_jaccard,strict_producer_sim,strict_name_matches,strict_producer_matches,strict_vintage_match,loose_n,loose_best_pn,loose_best_pn_len,loose_sb_name,loose_name_sim,loose_name_matches
72149,5,Cornas Les Grandes Terrasses,Paul Jaboulet Ainé,2021,2025-10-13T00:00:00Z,1,7214901,01,Abbatiale Premier Cru Locret-Lachaud,Locret-Lachaud,Frankrike,,True,0.25,0.0,0.375,False,False,False,1,7214901,7,Abbatiale Premier Cru Locret-Lachaud,0.25,False
78193,5,Châteauneuf-du-Pape La Bernardine,M. Chapoutier,2022,2025-10-13T00:00:00Z,1,7819301,01,Vieira Atlantica Albariño,Urban Wines,Spanien,2025,True,0.345,0.0,0.261,False,False,False,1,7819301,7,Vieira Atlantica Albariño,0.345,False
92048,5,Laietà Gran Reserva,Alta Alella,2020,2025-09-21T00:00:00Z,1,9204801,01,Cornas Renaissance Domaine Clape,Domaine Clape,Frankrike,2023,True,0.275,0.0,0.333,False,False,False,1,9204801,7,Cornas Renaissance Domaine Clape,0.275,False
92353,5,La Grande Côte Irancy,Domaine Benoit Cantin,2022,2025-09-09T00:00:00Z,1,9235301,01,Maranges Le Croix Moines Premier Cru Maison Camille Giroud,Maison Camille Giroud,Frankrike,2023,True,0.304,0.0,0.381,False,False,False,1,9235301,7,Maranges Le Croix Moines Premier Cru Maison Camille Giroud,0.304,False
90649,5,Dogliani,Trediberri,2024,2025-08-31T00:00:00Z,1,9064901,01,Château Potensac Domaines Delon,Les Domaines Delon,Frankrike,2023,True,0.205,0.0,0.286,False,False,False,1,9064901,7,Château Potensac Domaines Delon,0.205,False
91257,5,Terre de Cuques Negre,Terroir al Limit,2022,2025-08-16T00:00:00Z,1,9125701,01,Mâcon Vergisson La Roche Domaine Barraud,Domaine Barraud,Frankrike,2024,True,0.295,0.0,0.258,False,False,False,1,9125701,7,Mâcon Vergisson La Roche Domaine Barraud,0.295,False
93635,5,Beaujolais Villages Lantignié,Domaine Jean-Marc Burgaud,2023,2025-06-14T00:00:00Z,2,9363506,06,Flaccianello della Pieve Fontodi,Fontodi,Italien,2022,True,0.393,0.0,0.125,False,False,False,2,9363506,7,Flaccianello della Pieve Fontodi,0.393,False
92374,5,Amy’s,Moss Wood,2023,2025-06-14T00:00:00Z,1,9237401,01,Cerasuolo d'Abruzzo Valle Reale,Valle Reale,Italien,2025,True,0.111,0.0,0.1,False,False,False,1,9237401,7,Cerasuolo d'Abruzzo Valle Reale,0.111,False
74198,5,Zecci Valpolicella Ripasso Superiore,Botter,2023,2025-06-01T00:00:00Z,1,7419801,01,Domaine du Mont Épin Mâcon-Péronne,Richard & Stéphane Martin,Frankrike,2022,True,0.229,0.0,0.207,False,False,False,1,7419801,7,Domaine du Mont Épin Mâcon-Péronne,0.229,False
93965,5,Etna Bianco,Tenuta delle Terre Nere,2024,2025-05-18T00:00:00Z,1,9396501,01,Gabriëlskloof Elodie Old Vine Chenin Blanc,Gabrielskloof,Sydafrika,2024,True,0.264,0.0,0.222,False,False,True,1,9396501,7,Gabriëlskloof Elodie Old Vine Chenin Blanc,0.264,False
93532,5,Roussette de Savoie La Dévire,Fabien Trosset,2023,2025-05-17T00:00:00Z,1,9353201,01,Barolo Rocche dell'Annunziata,Francesco Rinaldi & Figli,Italien,2021,True,0.345,0.0,0.27,False,False,False,1,9353201,7,Barolo Rocche dell'Annunziata,0.345,False
90389,5,Grand Elevage Savagnin,Maison Rijckaert,2022,2025-05-08T00:00:00Z,1,9038901,01,Madame de Beaucaillou Château Ducru-Beaucaillou,Château Ducru-Beaucaillou,Frankrike,2019,True,0.232,0.0,0.146,False,False,False,1,9038901,7,Madame de Beaucaillou Château Ducru-Beaucaillou,0.232,False
92779,5,Askos Verdeca,Masseria Li Veli,2024,2025-05-04T00:00:00Z,1,9277901,01,Zweigelt Weingut Arndorfer,Weingut Arndorfer,Österrike,2024,True,0.205,0.0,0.182,False,False,True,1,9277901,7,Zweigelt Weingut Arndorfer,0.205,False
92209,5,Cuvée Caroline,Clos Cibonne,2023,2025-05-04T00:00:00Z,1,9220901,01,Marcio Lopes Pequenos Rebentos Alvarinho,Marcio Lopes,Portugal,2025,True,0.222,0.0,0.333,False,False,False,1,9220901,7,Marcio Lopes Pequenos Rebentos Alvarinho,0.222,False
91330,5,Pinot Rosé Brut,Weingut Franz Keller,2020,2025-05-04T00:00:00Z,1,9133001,01,Marcio Lopes Pequenos Rebentos Atlantico,Marcio Lopes,Portugal,2024,True,0.327,0.0,0.062,False,False,False,1,9133001,7,Marcio Lopes Pequenos Rebentos Atlantico,0.327,False
90389,5,Grand Elevage Savagnin,Maison Rijckaert,2022,2025-05-03T00:00:00Z,1,9038901,01,Madame de Beaucaillou Château Ducru-Beaucaillou,Château Ducru-Beaucaillou,Frankrike,2019,True,0.232,0.0,0.146,False,False,False,1,9038901,7,Madame de Beaucaillou Château Ducru-Beaucaillou,0.232,False
92619,5,Lilla Vägen Winemaker's Selection Pinot noir Précoce,Arilds vingård,2023,2025-05-03T00:00:00Z,1,9261901,01,Yarra Yering Dry Red No1,Yarra Yering Vineyards,Australien,2021,True,0.237,0.0,0.556,False,False,False,1,9261901,7,Yarra Yering Dry Red No1,0.237,False
92684,5,Sancerre La Noue en Rosé,Claude Riffault,2023,2025-05-03T00:00:00Z,1,9268401,01,Áster El Espino,Viñedos y Bodegas Aster S.L.,Spanien,2021,True,0.359,0.0,0.238,False,False,False,1,9268401,7,Áster El Espino,0.359,False
74749,5,Mullineux Schist Chenin,Mullineux & Leeu Family Wines,2022,2025-04-23T00:00:00Z,1,7474902,02,Viva Valentina Rosé Organic,Iconic Wines,Italien,2025,True,0.28,0.0,0.462,False,False,False,1,7474902,7,Viva Valentina Rosé Organic,0.28,False
92364,5,Bourgueil Nuits d’Ivresse,Domaine Catherine et Pierre Breton,2022,2025-04-19T00:00:00Z,1,9236401,01,Damascene Franschhoek Semillon,Damascene Winery,Sydafrika,2024,True,0.182,0.0,0.28,False,False,False,1,9236401,7,Damascene Franschhoek Semillon,0.182,False
94511,5,Kumeu River Estate Chardonnay,Kumeu River Wines Ltd,2023,2025-04-19T00:00:00Z,1,9451101,01,Felton Road Block 3 Pinot Noir,Felton Road,Nya Zeeland,2024,True,0.169,0.0,0.25,False,False,False,1,9451101,7,Felton Road Block 3 Pinot Noir,0.169,False
92588,5,Vernacchia di San Gimignano Vigna Santa Margherita,Panizzi,2023,2025-04-19T00:00:00Z,1,9258801,01,Beronia Gran Reserva,Bodegas Beronia,Spanien,2019,True,0.371,0.0,0.273,False,False,False,1,9258801,7,Beronia Gran Reserva,0.371,False
90668,5,Supersónico Garnacha,Bodegas Frontonio,2021,2025-04-18T00:00:00Z,1,9066801,01,Weingut Markus Altenburger Weiss,Weingut Markus Altenburger,Österrike,2024,True,0.192,0.0,0.279,False,False,False,1,9066801,7,Weingut Markus Altenburger Weiss,0.192,False
92393,5,Juliénas,Mommessin,2023,2025-04-18T00:00:00Z,1,9239301,01,Langhe Nebbiolo Giuseppe Mascarello,Giuseppe Mascarello,Italien,2023,True,0.186,0.0,0.143,False,False,True,1,9239301,7,Langhe Nebbiolo Giuseppe Mascarello,0.186,False
90483,5,Diamant Prestige,Domaine de la Roche Honneur,2021,2025-04-18T00:00:00Z,1,9048301,01,Sasso di Fata Tenuta Licinia,Tenuta Licinia,Italien,2022,True,0.364,0.0,0.195,False,False,False,1,9048301,7,Sasso di Fata Tenuta Licinia,0.364,False
93241,5,Crozes-Hermitage Les Trois Chênes,Emmanuel Darnaud,2022,2025-04-18T00:00:00Z,1,9324101,01,Barolo Riserva Vignolo Cavallotto,Cavallotto,Italien,2019,True,0.333,0.0,0.154,False,False,False,1,9324101,7,Barolo Riserva Vignolo Cavallotto,0.333,False
92125,5,Verdelho Reserva Velha 10 year old,Vinohs Barbeito Ltd,0,2025-04-18T00:00:00Z,1,9212501,01,Vernaccia di San Gimignano Vigna Santa Margherita,Panizzi,Italien,2024,True,0.241,0.0,0.154,False,False,False,1,9212501,7,Vernaccia di San Gimignano Vigna Santa Margherita,0.241,False
90189,5,Côte de Brouilly les Clos,Château Thivin,2023,2025-04-09T00:00:00Z,1,9018901,01,Brokenwood ILR Reserve Semillon,Brokenwood Wines,Australien,2019,True,0.25,0.0,0.267,False,False,False,1,9018901,7,Brokenwood ILR Reserve Semillon,0.25,False
90189,5,Côte de Brouilly les Clos,Château Thivin,2023,2025-04-04T00:00:00Z,1,9018901,01,Brokenwood ILR Reserve Semillon,Brokenwood Wines,Australien,2019,True,0.25,0.0,0.267,False,False,False,1,9018901,7,Brokenwood ILR Reserve Semillon,0.25,False
92554,5,Yvonne Rouge,Château Yvonne,2022,2025-04-04T00:00:00Z,1,9255401,01,Sadie Family Wines Columella,The Sadie Family Wines,Sydafrika,2023,True,0.35,0.0,0.389,False,False,False,1,9255401,7,Sadie Family Wines Columella,0.35,False
94318,5,El Paraguas Alántico,Bodegas el Paraguas,2023,2025-04-04T00:00:00Z,1,9431801,01,Chablis Tête d'Or Billaud-Simon,Domaine Billaud-Simon,Frankrike,2024,True,0.235,0.0,0.1,False,False,False,1,9431801,7,Chablis Tête d'Or Billaud-Simon,0.235,False
90272,5,Cuvelier los Andes Colecciòn,Cuvelier los Andes,2020,2025-04-04T00:00:00Z,1,9027201,01,Simeta Javi Revert,Javi Revert Viticultor SL,Spanien,2023,True,0.13,0.0,0.279,False,False,False,1,9027201,7,Simeta Javi Revert,0.13,False
92321,5,Criadera Selection Oloroso en Rama,Barbadillo,0,2025-03-26T00:00:00Z,1,9232101,01,Gewurztraminer Grand Cru Altenberg Bergheim,Domaine Fernand Engel,Frankrike,2024,True,0.156,0.0,0.323,False,False,False,1,9232101,7,Gewurztraminer Grand Cru Altenberg Bergheim,0.156,False
92576,5,A Pedreira,Bodega Fulcro,2023,2025-03-23T00:00:00Z,1,9257601,01,Dr. Hermann Ürziger Würzgarten GG Alte Reben,Weingut Dr. Hermann,Tyskland,2023,True,0.226,0.0,0.194,False,False,True,1,9257601,7,Dr. Hermann Ürziger Würzgarten GG Alte Reben,0.226,False
93242,5,Rosso dei Notri,Tua Rita,2023,2025-03-23T00:00:00Z,1,9324201,01,Magoutes Vineyard Vielles Vignes Blanc,Magoutes Vineyard,Grekland,2024,True,0.189,0.0,0.24,False,False,False,1,9324201,7,Magoutes Vineyard Vielles Vignes Blanc,0.189,False
94491,5,Cheverny Blanc,Hervé Villemade,2023,2025-03-23T00:00:00Z,1,9449101,01,Pegaso Barrancos de Pizarra,De Pegaso - Telmo Rodriguez,Spanien,2022,True,0.293,0.0,0.2,False,False,False,1,9449101,7,Pegaso Barrancos de Pizarra,0.293,False
92429,5,Morgon Corcelette,Domaine des Marrans,2023,2025-03-23T00:00:00Z,1,9242901,01,Bodegas Fulcro A Pedreira,Bodega Fulcro,Spanien,2024,True,0.286,0.0,0.312,False,False,False,1,9242901,7,Bodegas Fulcro A Pedreira,0.286,False
92491,5,Encostas de Melgaço Alvarinho,"Quinta da Pigarra - Sociedade Agricola, Lda.",2022,2025-03-23T00:00:00Z,1,9249101,01,Sébastien Brunet Le Naturel Vouvray Pet Nat,EARL Brunet Sébastien,Frankrike,2023,True,0.306,0.0,0.23,False,False,False,1,9249101,7,Sébastien Brunet Le Naturel Vouvray Pet Nat,0.306,False
93451,5,Le Naturel Vouvray Pet Nat,Sebastien Brunet,0,2025-03-23T00:00:00Z,1,9345101,01,Walter Hansel The North Slope Vineyard Chardonnay,Walter Hansel,USA,2023,True,0.293,0.0,0.138,False,False,False,1,9345101,7,Walter Hansel The North Slope Vineyard Chardonnay,0.293,False
90331,5,Catena Alta Malbec,Bodega Catena Zapata,2021,2025-03-22T00:00:00Z,1,9033101,01,Brunello Di Montalcino Pietroso,Pietroso,Italien,2021,True,0.163,0.0,0.071,False,False,True,1,9033101,7,Brunello Di Montalcino Pietroso,0.163,False
93077,5,Negre de Negres,Portal del Priorat,2021,2025-03-22T00:00:00Z,1,9307701,01,Baron de Ley Siete Viñas Reserva,Baron de Ley,Spanien,2020,True,0.383,0.125,0.333,False,False,False,1,9307701,7,Baron de Ley Siete Viñas Reserva,0.383,False
94489,5,Savagnin l´origine,Earl Courbet,2022,2025-03-22T00:00:00Z,1,9448901,01,Emidio Pepe Montepulciano d'Abruzzo Branella,Emidio Pepe,Italien,2022,True,0.194,0.0,0.261,False,False,True,1,9448901,7,Emidio Pepe Montepulciano d'Abruzzo Branella,0.194,False
90243,5,Catena Zapata Malbec Argentino,Bodega Catena Zapata,2022,2025-03-22T00:00:00Z,1,9024301,01,Champagne J.M. Labruyère Page Blanche,Champagne J.M. Labruyère,Frankrike,2016,True,0.424,0.0,0.186,False,False,False,1,9024301,7,Champagne J.M. Labruyère Page Blanche,0.424,False
79513,5,Costadilá 330 SLM Orangevin,Costadilá,0,2025-03-22T00:00:00Z,1,7951301,01,Guasti Barolo Riserva,Guasti Clemente e Figli S.P.A,Italien,2018,True,0.208,0.0,0.158,False,False,False,1,7951301,7,Guasti Barolo Riserva,0.208,False
92321,5,Criadera Selection Oloroso en Rama,Barbadillo,0,2025-03-22T00:00:00Z,1,9232101,01,Gewurztraminer Grand Cru Altenberg Bergheim,Domaine Fernand Engel,Frankrike,2024,True,0.156,0.0,0.323,False,False,False,1,9232101,7,Gewurztraminer Grand Cru Altenberg Bergheim,0.156,False
92414,5,Crozes-Hermitage Rouge Silène,JL Chave Sélection,2023,2025-03-22T00:00:00Z,1,9241401,01,Uccelliera Rosso di Montalcino,Uccelliera,Italien,2023,True,0.407,0.0,0.286,False,False,True,1,9241401,7,Uccelliera Rosso di Montalcino,0.407,False
92827,5,Domaine Grand Romane Gigondas Blanc,Pierre Amadieu,2023,2025-03-09T00:00:00Z,1,9282701,01,Mâcon-Milly-Lamartine Clos du Four Domaine Cordier,Domaine Cordier,Frankrike,2024,True,0.259,0.083,0.207,False,False,False,1,9282701,7,Mâcon-Milly-Lamartine Clos du Four Domaine Cordier,0.259,False
92683,5,Barbera d'Alba Superiore,Luigi Pira,2022,2025-03-09T00:00:00Z,1,9268301,01,Barbaresco Gaja,Gaja,Italien,2022,True,0.359,0.0,0.286,False,False,True,1,9268301,7,Barbaresco Gaja,0.359,False
92489,5,Chianti Classico Lamole,I Fabbri,2022,2025-03-09T00:00:00Z,1,9248901,01,Ridge Vineyards Grenache Blanc Paso Robles,Ridge Vineyards,USA,2024,True,0.369,0.0,0.174,False,False,False,1,9248901,7,Ridge Vineyards Grenache Blanc Paso Robles,0.369,False
92748,5,Rully Rouge,Joseph Drouhin,2022,2025-03-09T00:00:00Z,1,9274801,01,La Suerte de Arrayán,Bodegas Arrayán,Spanien,2023,True,0.129,0.0,0.345,False,False,False,1,9274801,7,La Suerte de Arrayán,0.129,False
92812,5,Deutz Brut Millésimé,Champagne Deutz,2018,2025-03-08T00:00:00Z,1,9281201,01,Dagromis Gaja,Gaja,Italien,2021,True,0.303,0.0,0.211,False,False,False,1,9281201,7,Dagromis Gaja,0.303,False
90408,5,Family Reserve Chenin Blanc,Kleine Zalze,2023,2025-03-08T00:00:00Z,1,9040801,01,Champ de Craie Extra Brut,Goutorbe Bouillot,Frankrike,,True,0.346,0.0,0.207,False,False,False,1,9040801,7,Champ de Craie Extra Brut,0.346,False
92240,5,Langhe Nebbiolo,Luigi Pira,2023,2025-03-08T00:00:00Z,1,9224001,01,Penfolds St Henri,Penfolds,Australien,2022,True,0.312,0.0,0.111,False,False,False,1,9224001,7,Penfolds St Henri,0.312,False
92953,5,Casanuova di Nittardi Chianti Classico Vigna Doghessa,Fattoria Nittardi,2013,2025-03-08T00:00:00Z,1,9295301,01,Kutch Mindego Ridge Vineyard Pinot Noir,Kutch Wines,USA,2023,True,0.261,0.0,0.214,False,False,False,1,9295301,7,Kutch Mindego Ridge Vineyard Pinot Noir,0.261,False
92845,5,Berg Roseneck Katerloch,Weingut Leitz,2022,2025-03-08T00:00:00Z,1,9284506,06,Opus One,Opus One,USA,2022,True,0.258,0.0,0.095,False,False,True,1,9284506,7,Opus One,0.258,False
92190,5,Dolcetto d'Alba,Luigi Pira,2023,2025-03-08T00:00:00Z,1,9219001,01,Bolla Le Tufaie Soave Superiore,Bolla,Italien,2023,True,0.261,0.0,0.267,False,False,True,1,9219001,7,Bolla Le Tufaie Soave Superiore,0.261,False
93459,5,Chianti Classico,Isole e Olena,2021,2025-03-08T00:00:00Z,1,9345901,01,Grignolino d'Asti Frasca,Frasca,Italien,2024,True,0.4,0.0,0.211,False,False,False,1,9345901,7,Grignolino d'Asti Frasca,0.4,False
77567,5,Vignes Rousses,Domaine du Bon Remède,2020,2025-03-03T00:00:00Z,1,7756701,01,Emilio Moro El Zarzal Godello,Emilio Moro,Spanien,2024,True,0.233,0.0,0.125,False,False,False,1,7756701,7,Emilio Moro El Zarzal Godello,0.233,False
77085,5,Château Chalon,Domaine Maire et Fils,2016,2025-02-28T00:00:00Z,1,7708501,01,Douro Dog,CASA DA FONTE PEQUENA,Portugal,,True,0.261,0.0,0.286,False,False,False,1,7708501,7,Douro Dog,0.261,False
72830,5,Trio,Berthet-Bondet,2022,2025-02-28T00:00:00Z,1,7283001,01,José Michel & Fils Clos Saint Jean Blanc de Blancs,José Michel & Fils,Frankrike,2013,True,0.038,0.0,0.267,False,False,False,1,7283001,7,José Michel & Fils Clos Saint Jean Blanc de Blancs,0.038,False
72532,5,La Poirière Côtes du Jura,Berthet Bondet,2020,2025-02-28T00:00:00Z,1,7253201,01,Cartuxa Colheita Branco,Cartuxa,Portugal,,True,0.375,0.0,0.19,False,False,False,1,7253201,7,Cartuxa Colheita Branco,0.375,False
94631,5,Los Arrotos del Pendón Albarin,Bodegas Y Vinedos Raúl Pérez,2021,2025-02-20T00:00:00Z,1,9463101,01,Domaine des Pothiers La Chapelle,Pothiers La Chapelle,Frankrike,2024,True,0.355,0.0,0.375,False,False,False,1,9463101,7,Domaine des Pothiers La Chapelle,0.355,False
91702,5,Château Giscours,Château Giscours,2020,2025-02-20T00:00:00Z,1,9170201,01,Latricières-Chambertin Grand Cru Lucien le Moine,Lucien Le Moine,Frankrike,2022,True,0.281,0.0,0.258,False,False,False,1,9170201,7,Latricières-Chambertin Grand Cru Lucien le Moine,0.281,False
94643,5,Ultreia Saint Jacques,Bodegas y Viñedos Raul Pérez,2022,2025-02-20T00:00:00Z,1,9464301,01,Frog's Leap Cabernet Sauvignon,Frog's Leap,USA,2022,True,0.275,0.0,0.359,False,False,True,1,9464301,7,Frog's Leap Cabernet Sauvignon,0.275,False
92666,5,Anthium Bellone,Casale del Giglio,2023,2025-02-20T00:00:00Z,1,9266601,01,Musigny Grand Cru Domaine Jacques Frédéric Mugnier,Domaine Jacques-Frédéric Mugnier,Frankrike,2018,True,0.154,0.0,0.327,False,False,False,1,9266601,7,Musigny Grand Cru Domaine Jacques Frédéric Mugnier,0.154,False
93999,5,Pouilly-Fuissé Tête de Cuvée,Château Fuissé,2022,2025-02-20T00:00:00Z,1,9399901,01,Arroyo del Tortolas Bodegas Bernabeleva,Bodegas Bernabeleva,Spanien,2023,True,0.209,0.0,0.242,False,False,False,1,9399901,7,Arroyo del Tortolas Bodegas Bernabeleva,0.209,False
