name,year,category,country,country_alias,region,sub_region,producer,importer,price,volume,alcohol,sugar_content,points,rate_text,rate_is_typical,rate_can_be_stored,rate_category_symbol,raw_materials,systembolaget_id,systembolaget_url,activity_name,activity_publish_date,activity_url,wine_url,flag_alcohol_zero,flag_year_bad,flag_points_out_of_range,flag_points_bad_increment,flag_systembolaget_placeholder,flag_price_unparseable,year_raw,points_raw,systembolaget_id_raw,raw_materials_original
Qvevri Red,2023,Rött,Sydafrika,za,Olifants River,Paarl,Avondale,Handpicked Wines Sweden AB,169.0,75,13.0,0.0,14.0,"Ungdomlig doft av blå druvor, blå plommon, björnbär, rött äpple, rosmarin och viol. Torr, medelfyllig, syrligt mörkfruktig och lite örtig smak med medelhög syra, balanserade tanniner och ett läskande, gott slut. Ekologiskt. 8100 fl.",False,False,2,"[{""name"": ""mourvèdre"", ""slug"": ""mourvedre"", ""percentage"": 0}, {""name"": ""syrah"", ""slug"": ""syrah"", ""percentage"": 0}, {""name"": ""grenache"", ""slug"": ""grenache"", ""percentage"": 0}]",90455,https://www.systembolaget.se/90455,Hitlista 9 april 2026,2026-04-09T00:00:00Z,/sv/vinlocus/hitlista-9-april-2026,/sv/vinlocus/hitlista-9-april-2026/qvevri-red-2024,,,,,,,,,,
Lenz Riesling,2024,Vitt,Tyskland,de,Nahe,,Emrich-Schönleber,Vinovativa,189.0,75,11.5,0.0,14.5,"Aromatisk doft av äppelblom, kartigt äpple, aprikos, päron, lime, en touch gummi och våt sten. Torr, medelfyllig, viskös, koncentrerad smak av citrus och kärnfrukt, drygt medelhög syra och ett fokuserat slut med mineralsälta. 1152 fl.",True,False,2,"[{""name"": ""riesling"", ""slug"": ""riesling"", ""percentage"": 100}]",94435,https://www.systembolaget.se/94435,Hitlista 9 april 2026,2026-04-09T00:00:00Z,/sv/vinlocus/hitlista-9-april-2026,/sv/vinlocus/hitlista-9-april-2026/lenz-riesling-2025,,,,,,,,,,
Grignolino d'Asti Frasca,2024,Rött,Italien,it,Piemonte,Grignolino d'Asti,Frasca,Panache Sweden AB,199.0,75,13.0,0.0,14.0,"Ungdomlig doft av smultron, cassis, körsbär, hallonkola och färska örter. Torr, knappt medelfyllig, smak av röda bär, citrus och bittra örter, medelhög strävhet med ett örtbittert slut. 1800 fl.",False,False,2,"[{""name"": ""grignolino"", ""slug"": ""grignolino"", ""percentage"": 100}]",93459,https://www.systembolaget.se/93459,Hitlista 9 april 2026,2026-04-09T00:00:00Z,/sv/vinlocus/hitlista-9-april-2026,/sv/vinlocus/hitlista-9-april-2026/grignolino-dasti-frasca-2025,,,,,,,,,,
Rough Diamond Grenache,2024,Rött,Australien,au,South Australia,Barossa Valley,Langmeil Winery,Fontana Food,199.0,75,14.5,0.0,14.0,"Öppen doft av färska örter, körsbär, röda plommon, apelsinzest och hallonkola. Torr, medelfyllig, sötfruktig och örtig smak med medelhög syra, integrerade tanniner och ett sötfruktigt slut. 5700 fl.",False,False,2,"[{""name"": ""grenache"", ""slug"": ""grenache"", ""percentage"": 100}]",92871,https://www.systembolaget.se/92871,Hitlista 9 april 2026,2026-04-09T00:00:00Z,/sv/vinlocus/hitlista-9-april-2026,/sv/vinlocus/hitlista-9-april-2026/rough-diamond-grenache-2025,,,,,,,,,,
Break a leg Chardonnay,2024,Vitt,Sydafrika,za,Western Cape,Stellenbosch,Lukas Van Loggerenberg Wines,Carovin AB,159.0,75,13.0,0.0,15.0,"Skir doft av citrus, grönt äpple, nektarin, yoghurt och rökig mineralitet. Torr, drygt medelfyllig, koncentrerad svalfruktig smak med drygt medelhög syra och ett bra avslut med liten beska. 2400 fl.",True,False,3,"[{""name"": ""chardonnay"", ""slug"": ""chardonnay"", ""percentage"": 100}]",94508,https://www.systembolaget.se/94508,Hitlista 9 april 2026,2026-04-09T00:00:00Z,/sv/vinlocus/hitlista-9-april-2026,/sv/vinlocus/hitlista-9-april-2026/break-a-leg-chardonnay-2025,,,,,,,,,,
Barbera d'Asti La Luna e i Falò Superiore,2023,Rött,Italien,it,Piemonte,Barbera d'Asti,Vite Colte,Divine AB,169.0,75,14.5,0.0,14.0,"Dämpad doft av blåbär, cassis, björnbärsmarmelad, mörk choklad och jord. Torr, medelfyllig, mörkbärig och örtig smak med drygt medelhög syra, balanserade tanniner och ett gott, lite jordigt slut. 6000 fl.",True,False,2,"[{""name"": ""barbera"", ""slug"": ""barbera"", ""percentage"": 100}]",91313,https://www.systembolaget.se/91313,Tillfälligt sortiment 17 april 2026,2026-03-30T00:00:00Z,/sv/vinlocus/tillfalligt-sortiment-17-april-2026,/sv/vinlocus/tillfalligt-sortiment-17-april-2026/barbera-dasti-la-luna-e-i-falo-superiore-2023,,,,,,,,,,
La Part des Anges,2022,Vitt,Frankrike,fr,Loire,"Touraine, Chinon",Domaine de la Noblaie,Terroir,279.0,75,13.5,0.0,15.0,"Nyanserad doft av kvitten, gult päron, grape, nektarin, sommarblommor, mandel,honung och lite rökig mineralitet. Torr, medelfyllig, nyanserad smak av gul frukt och mandel, medelhög syra och ett  mineraliskt slut med någon beska. Ekologiskt. 600 fl.",True,False,2,"[{""name"": ""chenin blanc"", ""slug"": ""chenin-blanc"", ""percentage"": 100}]",92158,https://www.systembolaget.se/92158,Tillfälligt sortiment 17 april 2026,2026-03-30T00:00:00Z,/sv/vinlocus/tillfalligt-sortiment-17-april-2026,/sv/vinlocus/tillfalligt-sortiment-17-april-2026/la-part-des-anges-2022,,,,,,,,,,
Riesling Trocken,2024,Vitt,Tyskland,de,Rheinhessen,,Weingut Katharina Wechsler,Enjoy Wine & Spirits AB,189.0,75,12.0,0.0,14.0,"Ungdomligt doft av grönt äpple, persika, citron och våt kalk. Torr, medelfyllig, frisk kärnfruktig smak, drygt medelhög syra och ett fokuserat syrligt slut med någon beska. Ekologiskt. 8400 fl.",True,False,2,"[{""name"": ""riesling"", ""slug"": ""riesling"", ""percentage"": 100}]",90268,https://www.systembolaget.se/90268,Tillfälligt sortiment 17 april 2026,2026-03-30T00:00:00Z,/sv/vinlocus/tillfalligt-sortiment-17-april-2026,/sv/vinlocus/tillfalligt-sortiment-17-april-2026/riesling-trocken-2024,,,,,,,,,,
Malbec Argentino,2023,Rött,Argentina,ar,Cuyo,Mendoza,Bodega Catena Zapata,Wine Affair Scandinavia AB,849.0,75,13.5,0.0,17.0,"Stillsam doft av blåbär, mörka plommon, buljong, mynta, eneträ, kakao och kaffe. Torr, drygt medelfyllig, rikt koncentrerad, mörkbärig och örtig smak med fattoner, balanserade tanniner och ett nyanserat, elegant slut. 720 fl.",True,False,0,"[{""name"": ""malbec"", ""slug"": ""malbec"", ""percentage"": 100}]",90631,https://www.systembolaget.se/90631,Tillfälligt sortiment 17 april 2026,2026-03-30T00:00:00Z,/sv/vinlocus/tillfalligt-sortiment-17-april-2026,/sv/vinlocus/tillfalligt-sortiment-17-april-2026/malbec-argentino-2023,,,,,,,,,,
Gelber Muskateller,2025,Vitt,Österrike,at,Niederösterreich,,Weingut Rudolf Rabl,Johan Lidby Vinhandel AB,139.0,75,12.5,3.0,13.0,"Aromatisk doft av passionsfrukt, honungsmelon, inlagd persika och apelsinblom. Torr, medelfyllig, fruktig och blommig smak med drygt medelhög syra ochett något tunt avslut med bittert stråk. 16200 fl.",True,False,2,"[{""name"": ""gelber muskateller"", ""slug"": ""gelber-muskateller"", ""percentage"": 100}]",92366,https://www.systembolaget.se/92366,Tillfälligt sortiment 17 april 2026,2026-03-30T00:00:00Z,/sv/vinlocus/tillfalligt-sortiment-17-april-2026,/sv/vinlocus/tillfalligt-sortiment-17-april-2026/gelber-muskateller-2025,,,,,,,,,,
