tasting_year,total,keep,keep_pct,available_in_store,available_in_store_nv,code_recycled,different_vintage,listed_but_no_stock,listed_but_no_stock_nv,no_match,no_tasting_year,weak_name_only
1998,122,0,0.0,0,0,0,2,0,0,120,0,0
1999,144,0,0.0,0,0,0,0,0,0,143,0,1
2000,141,0,0.0,0,0,0,0,0,0,141,0,0
2001,159,0,0.0,0,0,0,1,0,0,157,0,1
2002,259,0,0.0,0,0,0,4,0,0,254,0,1
2003,145,0,0.0,0,0,0,6,0,0,137,0,2
2004,155,0,0.0,0,0,0,0,0,0,155,0,0
2005,236,0,0.0,0,0,0,7,0,2,226,0,1
2006,237,1,0.4,0,1,0,6,0,0,228,0,2
2007,247,0,0.0,0,0,0,12,0,1,228,0,6
2008,335,0,0.0,0,0,0,10,0,2,321,0,2
2009,425,0,0.0,0,0,0,20,0,2,395,0,8
2010,418,0,0.0,0,0,0,16,0,3,391,0,8
2011,395,0,0.0,0,0,0,23,0,3,364,0,5
2012,563,1,0.2,0,1,0,31,0,3,522,0,6
2013,697,2,0.3,0,2,1,58,0,7,622,0,7
2014,940,2,0.2,0,2,0,90,0,16,812,0,20
2015,646,2,0.3,0,2,1,66,1,6,553,0,17
2016,838,3,0.4,0,3,0,124,5,16,674,0,16
2017,515,3,0.6,0,3,0,105,9,15,373,0,10
2018,462,2,0.4,1,1,1,105,10,14,314,0,16
2019,2106,21,1.0,2,19,0,468,8,23,1502,0,84
2020,2025,10,0.5,3,7,1,512,13,35,1339,0,115
2021,2122,31,1.5,8,23,1,540,45,28,1345,0,132
2022,2120,41,1.9,7,34,0,477,86,62,1265,1,188
2023,2242,111,5.0,31,80,2,601,157,26,1112,0,233
2024,2296,197,8.6,111,86,1,570,248,38,1024,0,218
2025,2191,634,28.9,537,97,18,303,390,22,676,3,145
2026,684,390,57.0,379,11,23,28,154,18,64,0,7
