code,tasting_name,tasting_producer,tasting_year,tasting_activity_date,sb_name,sb_producer,sb_country,sb_vintage,in_search,name_sim,name_jaccard,producer_sim,vintage_match,bucket
7228101,Vivanco Reserva,Vivanco,2019,2026-03-05T00:00:00Z,Vivanco Reserva,Vivanco,Spanien,2019,True,1.0,1.0,1.0,True,name+vintage
7146601,La Guinardera Celler Balaguer i Cabré,Celler Balaguer i Cabré,2021,2026-03-05T00:00:00Z,La Guinardera Celler Balaguer i Cabré,Celler Balaguer i Cabré,Spanien,2021,True,1.0,1.0,1.0,True,name+vintage
7784201,Di Majo Norante Rami Falanghina,Di Majo Norante,2024,2026-03-05T00:00:00Z,Di Majo Norante Rami Falanghina,Di Majo Norante,Italien,2024,True,1.0,1.0,1.0,True,name+vintage
7619601,Cote Mas Syrah Grenache Noir,Domaines Paul Mas,2024,2026-03-05T00:00:00Z,Côté Mas Syrah Grenache Noir,Domaines Paul Mas,Frankrike,2024,True,1.0,1.0,1.0,True,name+vintage
5665401,Marques de Pluma Ribera del Duero,Bodegas Pinord,2022,2026-03-05T00:00:00Z,Marques de Pluma Ribera del Duero,Bodegas Pinord,Spanien,2022,True,1.0,1.0,1.0,True,name+vintage
7521301,Arigato Pinot Noir,Mission Wine & Spirits AB,2023,2026-03-05T00:00:00Z,Arigato Pinot Noir,Mission Wine & Spirits AB,Tyskland,2023,True,1.0,1.0,1.0,True,name+vintage
7217501,Alain Brumont Torus Blanc,Alain Brumont,2024,2026-03-05T00:00:00Z,Alain Brumont,,,,False,0.684,0.5,0.0,,no_search_data_name_match
7696001,Entrecuestas Godello,Tilenus,2023,2026-03-05T00:00:00Z,Bodegas Estefania Tilenus Entrecuestas Godello,Bodegas Estefania S.L.,Spanien,2023,True,0.606,0.4,0.214,True,name+vintage
7152301,Pommery Louis England Brut,Pommery,0,2026-03-05T00:00:00Z,Pommery Louis England Brut,Pommery,Storbritannien,,True,1.0,1.0,1.0,False,name_only
7567901,Ribas Blanc,Bodega Ribas,2024,2026-03-05T00:00:00Z,Ribas Blanc,Bodega Ribas,Spanien,2024,True,1.0,1.0,1.0,True,name+vintage
5911701,Southern Right Pinotage,Southern Right Cellars,2022,2026-03-05T00:00:00Z,Southern Right Pinotage,Southern Right Cellars,Sydafrika,2022,True,1.0,1.0,1.0,True,name+vintage
